6440002|20221015|20221014|0001|P0101|UA|AED|000000000000125|20221002|1|  |UA|
6440002|20221015|20221006|0002|S0104|US|USD|000000000042000|20221003|1|  |US|
6440002|20221015|20221005|0003|P0109|US|EUR|000000000000121|20221004|1|  |US|
6440002|20221015|20221007|0004|S0219|SG|SGD|000000000004500|        |1|  |SG|
6440002|20221015|20221009|0005|S0108|US|EUR|000000000001200|20221006|1|  |US|
6440002|20221015|20221004|0006|P0019|US|USD|000000000005546|        |1|  |US|
6440002|20221015|20221010|0007|S0091|UA|AED|000000000039785|        |1|  |UA|
6440002|20221015|20221014|0008|P0205|IN|INR|000000000017000|        |1|CN|IN|
6440003|20221015|20221014|0001|P0101|UA|AED|000000000000125|20221002|1|  |UA|
6440003|20221015|20221006|0002|S0104|US|USD|000000000042000|20221003|1|  |US|
6440003|20221015|20221005|0003|P0109|US|EUR|000000000000121|20221004|1|  |US|
6440003|20221015|20221007|0004|S0219|SG|SGD|000000000004500|        |1|  |SG|
6440003|20221015|20221009|0005|S0108|US|EUR|000000000001200|20221006|1|  |US|
6440003|20221015|20221004|0006|P0019|US|USD|000000000005546|        |1|  |US|
6440003|20221015|20221010|0007|S0091|UA|AED|000000000039785|        |1|  |UA|
6440003|20221015|20221014|0008|P0205|IN|INR|000000000017000|        |1|CN|IN|
6440004|20221015|20221014|0001|P0101|UA|AED|000000000000125|20221002|1|  |UA|
6440004|20221015|20221006|0002|S0104|US|USD|000000000042000|20221003|1|  |US|
6440004|20221015|20221005|0003|P0109|US|EUR|000000000000121|20221004|1|  |US|
6440004|20221015|20221007|0004|S0219|SG|SGD|000000000004500|        |1|  |SG|
6440004|20221015|20221009|0005|S0108|US|EUR|000000000001200|20221006|1|  |US|
6440004|20221015|20221004|0006|P0019|US|USD|000000000005546|        |1|  |US|
6440004|20221015|20221010|0007|S0091|UA|AED|000000000039785|        |1|  |UA|
6440004|20221015|20221014|0008|P0205|IN|INR|000000000017000|        |1|CN|IN|
6440006|20221015|20221014|0001|P0101|UA|AED|000000000000125|20221002|1|  |UA|
6440006|20221015|20221006|0002|S0104|US|USD|000000000042000|20221003|1|  |US|
6440006|20221015|20221005|0003|P0109|US|EUR|000000000000121|20221004|1|  |US|
6440006|20221015|20221007|0004|S0219|SG|SGD|000000000004500|        |1|  |SG|
6440006|20221015|20221009|0005|S0108|US|EUR|000000000001200|20221006|1|  |US|
6440006|20221015|20221004|0006|P0019|US|USD|000000000005546|        |1|  |US|
6440006|20221015|20221010|0007|S0091|UA|AED|000000000039785|        |1|  |UA|
6440006|20221015|20221014|0008|P0205|IN|INR|000000000017000|        |1|CN|IN|
