644000A|20250731|0001|S2088|  |AED|000000000022000|N|
644000A|20250731|0002|S0091|  |AED|000000000039785|N|
644000A|20250731|0003|P0100|  |AED|000000000034289|N|
644000A|20250731|0004|S2199|  |AED|000000000027496|N|
644000A|20250731|0005|S2088|  |EUR|000000000128801|N|
644000A|20250731|0006|S0144|  |EUR|000000000001200|N|
644000A|20250731|0007|P0100|  |EUR|000000000120000|N|
644000A|20250731|0008|P0092|  |EUR|000000000010001|N|
644000A|20250731|0009|S2199|  |EUR|000000000000000|N|
644000A|20250731|0010|S2088|CN|INR|000000000023000|V|
644000A|20250731|0011|P1590|CN|INR|000000000017000|V|
644000A|20250731|0012|S2199|CN|INR|000000000006000|V|
644000A|20250731|0013|S0092|SG|INR|000000000018321|V|
644000A|20250731|0014|S2199|SG|INR|000000000018321|V|
644000A|20250731|0015|S2088|  |JPY|000000000020000|N|
644000A|20250731|0016|S0190|  |JPY|000000000023000|N|
644000A|20250731|0017|S2199|  |JPY|000000000043000|N|
644000A|20250731|0018|S2088|  |SGD|000000000000000|N|
644000A|20250731|0019|S1590|  |SGD|000000000004500|N|
644000A|20250731|0020|S2199|  |SGD|000000000004500|N|
644000A|20250731|0021|S0144|  |USD|000000000042000|N|
644000A|20250731|0022|P1590|  |USD|000000000005546|N|
644000A|20250731|0023|S2199|  |USD|000000000036454|N|
